"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-27","0.01",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-28","0.16",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-29","0.13",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-30","0.24",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-01","0.16",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-02","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-03","0.04",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-04","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-05","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-06","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-07","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-08","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-09","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-10","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-11","0.06",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-12","0.01",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-13","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-14","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-15","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-16","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-17","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-18","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-19","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-20","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-21","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-22","0.01",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-23","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-24","0.02",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-25","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-26","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-27","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-28","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-29","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-30","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-05-31","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-01","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-02","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-03","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-04","0.79",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-05","0.09",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-06","0.60",",,E","0.0",",,E",,,,
